name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Angel's Modish Solid Sheesham Wood Dining Table Set (Walnut Finish) Folding Dining Table,,,,,"Rs. 39,999","Rs.  29,500",26% Off,,,https://www.snapdeal.com/product/angels-modish-solid-sheesham-wood/636455642542#bcrumbSearch:dining%20set|bcrumbLabelId:580
MARBLE DINNING TABLE,,2 left!,,,"Rs. 86,000","Rs.  82,657",4% Off,,,https://www.snapdeal.com/product/marble-dinning-table/619119687953#bcrumbSearch:dining%20set|bcrumbLabelId:580
S  Granite Top Wooden Table,,2 left!,,,"Rs. 1,00,000","Rs.  74,800",25% Off,,,https://www.snapdeal.com/product/s-granite-top-wooden-table/648572690983#bcrumbSearch:dining%20set|bcrumbLabelId:580
Granite/Marble Table,,2 left!,,,"Rs. 90,000","Rs.  60,000",33% Off,,,https://www.snapdeal.com/product/granitemarble-table/639254421952#bcrumbSearch:dining%20set|bcrumbLabelId:580
MARBLE DINNIG TABLE,,2 left!,,,"Rs. 80,000","Rs.  57,602",28% Off,,,https://www.snapdeal.com/product/marble-dinnig-table/686550319500#bcrumbSearch:dining%20set|bcrumbLabelId:580
ARMAN ART & CRAFT SHISHAM WOOD DINING SET 4 SEATER,,,,,"Rs. 55,999","Rs.  45,999",18% Off,,,https://www.snapdeal.com/product/arman-art-craft-shisham-wood/666826225704#bcrumbSearch:dining%20set|bcrumbLabelId:580
SHOPEE BAZAAR Premium Sofa Set for Living and Dining Hall 3+1+1+Center Table Free,,5 left!,,,"Rs. 70,000","Rs.  35,001",50% Off,,,https://www.snapdeal.com/product/shopee-bazaar-premium-sofa-set/672076781724#bcrumbSearch:dining%20set|bcrumbLabelId:580
